Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C2, C3, C4",0402,6,100n,
C11,0603,1,10u,
C5,0402,1,1u,
C6,0402,1,4.7u,
"C7, C8",0402,2,22p,
C9,0603,1,22u,
"D1, D2",0402,2,LED,
J1,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"J3, J4",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
L1,0805,1,2.2u,
"R1, R2, R3, R7, R9",0402,5,5.1k,
"R10, R4",0402,2,100k,
"R5, R6",0402,2,100R,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEUx,
U3,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62162DSG,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24_Small,
