Designator,Mid X,Mid Y,Rotation,Layer
C1,175.18,-91.83,270.0,top
C10,175.35,-81.29,270.0,top
C11,176.37,-76.86,0.0,top
C12,176.29,-78.52,270.0,top
C2,167.77,-90.29,0.0,top
C3,172.34,-101.52,270.0,top
C4,165.96,-97.91,90.0,top
C5,171.9,-99.89,180.0,top
C6,175.81,-93.75,270.0,top
C7,166.27,-101.64,270.0,top
C8,171.42,-101.51,90.0,top
C9,171.66,-77.86,90.0,top
D1,165.395,-79.81,270.0,top
D2,166.335,-79.81,270.0,top
J1,170.5,-113.5,180.0,top
J2,170.5,-71.375,180.0,top
J3,161.57,-94.505,0.0,bottom
J4,179.55,-94.52,0.0,bottom
L1,173.41,-80.07,180.0,top
R1,172.35,-104.13,270.0,top
R10,176.3,-75.16,90.0,top
R2,164.71,-72.22,270.0,top
R3,176.32,-72.44,270.0,top
R4,175.36,-78.95,90.0,top
R5,165.395,-81.665,270.0,top
R6,166.335,-81.665,270.0,top
R7,164.77,-95.11,90.0,top
R9,173.31,-100.27,90.0,top
SW1,168.29,-105.13,0.0,top
SW2,175.0,-103.76,270.0,top
U1,169.41,-86.42,270.0,top
U2,170.57,-94.91,180.0,top
U3,173.64,-77.74,270.0,top
Y1,168.85,-101.72,0.0,top
